experiment_id	parent_experiment	timestamp	git_commit	hypothesis	changed_parameters	seed	budget_level	epochs	runtime_seconds	pos_err_w_m	rot_err_w_deg	grasp_f1_w	score	status	decision	notes
exp_0000		2026-09-01T15:46:21+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	未改变的 open_door HumanEgo 基线可以完成一次隔离的短时端到端训练和评估。	none（不可变基线副本；smoke 使用 data_num=1）	7	smoke	1	83.97	0.3468876213	126.0119272333	0.4182788615	1.5651790074	SUCCESS	BASELINE	314 eval frames；29 个显式训练路径中 smoke 使用第一个；snapshot=eval_ep_0001.json
exp_0001	exp_0000	2026-09-01T17:07:04+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	在相同数据、模型、seed 下，提高学习率可改善 open_door 的有限训练预算表现。	lr: 1.0e-4 -> 2.0e-4	7	search	20	312.60	0.2669006309	102.8514332213	0.4602224607	1.2493927171	SUCCESS	KEEP	314 eval frames；与 exp_0000 的 1 epoch smoke 不作严格因果比较；snapshot=eval_ep_0020.json
exp_0002	exp_0001	2026-09-01T17:27:26+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	在相同学习率下，去除 weight decay 可能减少小数据短预算下的正则化偏差并改善 open_door。	weight_decay: 1.0e-2 -> 0.0	7	search	20	323.40	0.2689031462	103.4530022538	0.4605866884	1.2573744999	SUCCESS	DISCARD	314 eval frames；较 exp_0001 差约 0.64%；无 OOM/NaN/CRASH/EVAL_ERROR；snapshot=eval_ep_0020.json
exp_0003	exp_0001	2026-09-01T17:33:29+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	在当前学习率和正则化下，较宽松的梯度裁剪可能减少有效更新受限并改善 open_door。	grad_clip: 1.0 -> 2.0	7	search	20	316.47	0.2670010573	102.7609179187	0.4579938579	1.2488108507	SUCCESS	KEEP	314 eval frames；较 exp_0001 改善约 0.05%，弱证据；无 OOM/NaN/CRASH/EVAL_ERROR；snapshot=eval_ep_0020.json
exp_0004	exp_0003	2026-09-01T17:40:03+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	在当前小数据短预算下，移除 dropout 可能减少欠拟合并改善位置和旋转预测。	dropout: 0.05 -> 0.0	7	search	20	303.41	0.2679106836	105.5260513675	0.4614998347	1.2770212138	SUCCESS	DISCARD	314 eval frames；较 exp_0003 差约 2.26%；无 OOM/NaN/CRASH/EVAL_ERROR；snapshot=eval_ep_0020.json
exp_0005	exp_0003	2026-09-01T17:45:59+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	在当前短预算下，关闭 EMA 可能避免参数平滑滞后，使最终模型更贴合最新优化状态并改善 open_door。	use_ema: True -> False	7	search	20	302.84	0.1115425875	23.9391639699	0.6437400694	0.2865602202	SUCCESS	KEEP	314 eval frames；较 exp_0003 改善约 77.1%；无 OOM/NaN/CRASH/EVAL_ERROR；snapshot=eval_ep_0020.json
exp_0006	exp_0005	2026-09-01T17:52:04+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	在关闭 EMA 后，短预算内保持较高学习率可能比后期衰减保留更强的适应能力并改善 open_door。	use_lr_schedule: True -> False	7	search	20	312.37	0.0995766305	19.3060366368	0.6942704167	0.2232099552	SUCCESS	KEEP	314 eval frames；较 exp_0005 改善约 22.1%；无 OOM/NaN/CRASH/EVAL_ERROR；snapshot=eval_ep_0020.json
exp_0007	exp_0006	2026-09-01T18:14:23+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	提高旋转损失权重可能降低旋转误差并改善固定 score。	w_rot: 1.0 -> 1.5	7	loss_search	20	342.78	0.1021131374	20.4855702819	0.6724186919	0.2397269710	SUCCESS	DISCARD	314 eval frames；较 exp_0006 差约 7.4%；无 OOM/NaN/CRASH/EVAL_ERROR；snapshot=eval_ep_0020.json
exp_0008	exp_0006	2026-09-01T18:20:56+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	提高位置损失权重可能降低位置误差且不显著损伤其他指标。	w_pos: 5.0 -> 7.5	7	loss_search	20	343.91	0.1104936420	24.1581394680	0.6524450049	0.2868305362	SUCCESS	DISCARD	314 eval frames；较 exp_0006 差约 28.5%；无 OOM/NaN/CRASH/EVAL_ERROR；snapshot=eval_ep_0020.json
exp_0009	exp_0006	2026-09-01T18:26:52+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	提高抓取损失权重可能强化抓取监督、提高抓取 F1 并降低总 score。	w_g: 10.0 -> 15.0	7	loss_search	20	315.82	0.0902209239	21.6137714667	0.7015332259	0.2362053160	SUCCESS	DISCARD	314 eval frames；较 exp_0006 差约 5.8%；无 OOM/NaN/CRASH/EVAL_ERROR；snapshot=eval_ep_0020.json
exp_0010	exp_0006	2026-09-01T18:33:16+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	提高主 flow 损失权重可能强化整体动作轨迹拟合并改善位置和旋转误差。	w_flow: 1.0 -> 1.5	7	loss_search	20	343.51	0.0968739884	20.0013255722	0.7113058736	0.2257566567	SUCCESS	DISCARD	314 eval frames；较 exp_0006 差约 1.1%；无 OOM/NaN/CRASH/EVAL_ERROR；snapshot=eval_ep_0020.json
exp_0011	exp_0006	2026-09-01T18:40:22+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	提高终止状态损失权重可以改善开门动作的收束，进而降低位置/旋转综合误差。	w_done: 0.2 -> 0.4	7	loss_search	20	315.42	0.0976045554	22.779157	0.6398496495	0.2614111602	SUCCESS	DISCARD	314 eval frames；较 exp_0006 差约 17.1%；无 OOM/NaN/CRASH/EVAL_ERROR；snapshot=eval_ep_0020.json
exp_0012	exp_0006	2026-09-01T18:46:12+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	视觉 foresight 辅助项关闭时，提高 w_foresight 不应改变训练损失或评估结果。	w_foresight: 20.0 -> 30.0	7	loss_search	20	330.01	0.0995766305	19.3060366368	0.6942704167	0.2232099552	SUCCESS	DISCARD	314 eval frames；与 exp_0006 的原始指标和分数完全一致；无 OOM/NaN/CRASH/EVAL_ERROR；snapshot=eval_ep_0020.json
exp_0013	exp_0006	2026-09-01T18:52:05+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	temporal contrastive 辅助项关闭时，提高 w_contrastive 不应改变训练损失或评估结果。	w_contrastive: 0.1 -> 0.2	7	loss_search	20	300.29	0.0995766305	19.3060366368	0.6942704167	0.2232099552	SUCCESS	DISCARD	314 eval frames；与 exp_0006 的原始指标和分数完全一致；无 OOM/NaN/CRASH/EVAL_ERROR；snapshot=eval_ep_0020.json
exp_0014	exp_0006	2026-09-01T18:59:10+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	降低主 flow 损失权重可以减轻对整体 flow 拟合的支配，使位置、旋转和抓取目标获得更好的平衡。	w_flow: 1.0 -> 0.75	7	loss_search	20	302.90	0.0899037419	19.5326919186	0.6814346786	0.2170871932	SUCCESS	KEEP	314 eval frames；较 exp_0006 改善约 2.74%；无 OOM/NaN/CRASH/EVAL_ERROR；snapshot=eval_ep_0020.json
exp_0015	exp_0014	2026-09-01T19:05:20+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	在已降低 w_flow 的基础上，进一步降低 w_pos 可以减少位置目标对旋转/抓取目标的竞争并继续改善综合分数。	w_pos: 5.0 -> 3.0	7	loss_search	20	302.00	0.0827244416	20.7815566158	0.6419197111	0.2263480366	SUCCESS	DISCARD	314 eval frames；较 exp_0014 变差约 4.27%；无 OOM/NaN/CRASH/EVAL_ERROR；snapshot=eval_ep_0020.json
exp_0016	exp_0014	2026-09-01T19:11:15+08:00	7d4a81a382f01cd75e42e85a15d5e03a6939acef	在降低 w_flow 后，略微降低抓取损失权重可以释放优化容量给位置/旋转目标，同时保持或改善官方综合分数。	w_g: 10.0 -> 7.5	7	loss_search	20	341.72	0.0916076745	22.5479514566	0.6769071412	0.2493964750	SUCCESS	DISCARD	314 eval frames；较 exp_0014 变差约 14.88%；无 OOM/NaN/CRASH/EVAL_ERROR；snapshot=eval_ep_0020.json
